"calories","fat","carb","fiber","protein","item"
350.0,8.0,67.0,5.0,10.0,"8-Grain Roll"
350.0,9.0,64.0,7.0,6.0,"Apple Bran Muffin"
420.0,20.0,59.0,0.0,5.0,"Apple Fritter"
490.0,19.0,75.0,4.0,7.0,"Banana Nut Loaf"
130.0,6.0,17.0,0.0,0.0,"Birthday Cake Mini Doughnut"
370.0,14.0,47.0,5.0,6.0,"Blueberry Oat Bar"
460.0,22.0,61.0,2.0,7.0,"Blueberry Scone"
370.0,14.0,55.0,0.0,6.0,"Bountiful Blueberry Muffin"
310.0,18.0,32.0,0.0,5.0,"Butter Croissant "
420.0,25.0,39.0,0.0,7.0,"Cheese Danish"
380.0,17.0,51.0,2.0,4.0,"Chocolate Chunk Cookie"
320.0,12.0,53.0,3.0,6.0,"Chocolate Cinnamon Bread"
300.0,17.0,34.0,2.0,5.0,"Chocolate Croissant"
420.0,21.0,57.0,2.0,5.0,"Chocolate Old-Fashioned Doughnut"
310.0,5.0,52.0,3.0,12.0,"Chonga Bagel"
480.0,18.0,70.0,3.0,7.0,"Cinnamon Chip Scone"
490.0,18.0,73.0,2.0,8.0,"Cranberry Orange Scone"
410.0,24.0,46.0,3.0,6.0,"Double Chocolate Brownie"
130.0,7.0,16.0,0.0,0.0,"Double Fudge Mini Doughnut"
280.0,2.0,56.0,2.0,10.0,"Everything with Cheese Bagel"
360.0,12.0,58.0,0.0,3.0,"Ginger Molasses Cookie"
490.0,23.0,67.0,0.0,5.0,"Iced Lemon Pound Cake"
420.0,25.0,42.0,0.0,7.0,"Mallorca Sweet Bread"
440.0,18.0,59.0,3.0,8.0,"Maple Oat Pecan Scone "
350.0,13.0,54.0,0.0,6.0,"Marble Pound Cake"
210.0,4.0,43.0,0.0,0.0,"Marshmallow Dream Bar"
350.0,16.0,45.0,2.0,6.0,"Morning Bun"
300.0,3.0,60.0,6.0,15.0,"Multigrain Bagel"
